"Label (Grouping)","Florida!!Total!!Estimate","Florida!!Total!!Margin of Error","Florida!!Percent!!Estimate","Florida!!Percent!!Margin of Error","Florida!!Male!!Estimate","Florida!!Male!!Margin of Error","Florida!!Percent Male!!Estimate","Florida!!Percent Male!!Margin of Error","Florida!!Female!!Estimate","Florida!!Female!!Margin of Error","Florida!!Percent Female!!Estimate","Florida!!Percent Female!!Margin of Error","Clay County, Florida!!Total!!Estimate","Clay County, Florida!!Total!!Margin of Error","Clay County, Florida!!Percent!!Estimate","Clay County, Florida!!Percent!!Margin of Error","Clay County, Florida!!Male!!Estimate","Clay County, Florida!!Male!!Margin of Error","Clay County, Florida!!Percent Male!!Estimate","Clay County, Florida!!Percent Male!!Margin of Error","Clay County, Florida!!Female!!Estimate","Clay County, Florida!!Female!!Margin of Error","Clay County, Florida!!Percent Female!!Estimate","Clay County, Florida!!Percent Female!!Margin of Error","Duval County, Florida!!Total!!Estimate","Duval County, Florida!!Total!!Margin of Error","Duval County, Florida!!Percent!!Estimate","Duval County, Florida!!Percent!!Margin of Error","Duval County, Florida!!Male!!Estimate","Duval County, Florida!!Male!!Margin of Error","Duval County, Florida!!Percent Male!!Estimate","Duval County, Florida!!Percent Male!!Margin of Error","Duval County, Florida!!Female!!Estimate","Duval County, Florida!!Female!!Margin of Error","Duval County, Florida!!Percent Female!!Estimate","Duval County, Florida!!Percent Female!!Margin of Error","Nassau County, Florida!!Total!!Estimate","Nassau County, Florida!!Total!!Margin of Error","Nassau County, Florida!!Percent!!Estimate","Nassau County, Florida!!Percent!!Margin of Error","Nassau County, Florida!!Male!!Estimate","Nassau County, Florida!!Male!!Margin of Error","Nassau County, Florida!!Percent Male!!Estimate","Nassau County, Florida!!Percent Male!!Margin of Error","Nassau County, Florida!!Female!!Estimate","Nassau County, Florida!!Female!!Margin of Error","Nassau County, Florida!!Percent Female!!Estimate","Nassau County, Florida!!Percent Female!!Margin of Error"
"        Bachelor's degree or higher","273,315","±11,408","25.2%","±0.9","123,268","±7,643","22.5%","±1.2","150,047","±7,529","27.9%","±1.3","1,358","±719","25.9%","±13.1","753","±566","28.3%","±18.3","605","±388","23.3%","±16.2","7,207","±2,147","30.3%","±8.0","2,785","±1,188","24.1%","±8.9","4,422","±1,486","36.2%","±9.9","N","N","N","N","N","N","N","N","N","N","N","N"
"    Two or more races","3,211,019","±36,147","(X)","(X)","1,553,028","±19,794","(X)","(X)","1,657,991","±22,619","(X)","(X)","16,193","±2,676","(X)","(X)","6,734","±1,370","(X)","(X)","9,459","±1,845","(X)","(X)","72,557","±5,365","(X)","(X)","36,085","±3,199","(X)","(X)","36,472","±3,411","(X)","(X)","3,273","±1,113","(X)","(X)","1,715","±778","(X)","(X)","1,558","±791","(X)","(X)"
"        High school graduate or higher","2,749,370","±36,934","85.6%","±0.5","1,306,660","±21,739","84.1%","±0.7","1,442,710","±22,755","87.0%","±0.5","14,839","±2,662","91.6%","±5.4","5,769","±1,371","85.7%","±10.9","9,070","±1,874","95.9%","±3.6","61,901","±5,102","85.3%","±3.7","30,679","±3,444","85.0%","±5.0","31,222","±3,303","85.6%","±4.7","3,148","±1,065","96.2%","±5.6","1,701","±777","99.2%","±1.6","1,447","±698","92.9%","±10.8"
"        Bachelor's degree or higher","1,079,398","±19,156","33.6%","±0.6","485,757","±12,208","31.3%","±0.8","593,641","±14,879","35.8%","±0.8","3,300","±1,291","20.4%","±7.4","1,436","±775","21.3%","±10.5","1,864","±1,047","19.7%","±10.5","22,450","±3,784","30.9%","±5.0","12,417","±2,773","34.4%","±6.8","10,033","±2,228","27.5%","±5.7","1,147","±512","35.0%","±14.1","690","±395","40.2%","±20.2","457","±344","29.3%","±22.1"
"    Hispanic or Latino Origin","4,553,083","±4,014","(X)","(X)","2,236,527","±3,098","(X)","(X)","2,316,556","±2,880","(X)","(X)","17,931","±633","(X)","(X)","8,221","±308","(X)","(X)","9,710","±516","(X)","(X)","88,445","*****","(X)","(X)","44,057","*****","(X)","(X)","44,388","*****","(X)","(X)","4,634","±330","(X)","(X)","2,317","±407","(X)","(X)","2,317","±234","(X)","(X)"
"        High school graduate or higher","3,792,991","±24,285","83.3%","±0.5","1,822,551","±15,287","81.5%","±0.7","1,970,440","±14,012","85.1%","±0.6","15,787","±1,066","88.0%","±5.1","6,926","±742","84.2%","±8.7","8,861","±864","91.3%","±7.4","72,452","±3,234","81.9%","±3.7","35,180","±1,989","79.9%","±4.5","37,272","±2,210","84.0%","±5.0","3,285","±751","70.9%","±17.3","1,129","±738","48.7%","±35.1","2,156","±239","93.1%","±9.0"
"        Bachelor's degree or higher","1,399,534","±20,718","30.7%","±0.5","628,868","±12,684","28.1%","±0.6","770,666","±14,688","33.3%","±0.6","4,174","±1,425","23.3%","±7.8","2,009","±957","24.4%","±11.4","2,165","±1,100","22.3%","±11.0","26,774","±3,364","30.3%","±3.8","12,901","±2,096","29.3%","±4.8","13,873","±2,357","31.3%","±5.3","1,310","±468","28.3%","±9.9","119","±174","5.1%","±7.5","1,191","±475","51.4%","±20.7"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","23.0%","±0.7","(X)","(X)","19.5%","±0.9","(X)","(X)","27.0%","±1.0","(X)","(X)","23.2%","±6.9","(X)","(X)","19.1%","±9.6","(X)","(X)","28.7%","±10.2","(X)","(X)","23.3%","±3.5","(X)","(X)","21.0%","±4.7","(X)","(X)","25.5%","±5.7","(X)","(X)","9.5%","±6.4","(X)","(X)","9.5%","±8.5","(X)","(X)","9.5%","±10.2"
"    High school graduate (includes equivalency)","(X)","(X)","13.7%","±0.4","(X)","(X)","11.5%","±0.5","(X)","(X)","15.8%","±0.5","(X)","(X)","11.2%","±4.5","(X)","(X)","10.7%","±6.0","(X)","(X)","11.8%","±4.2","(X)","(X)","14.2%","±1.9","(X)","(X)","12.4%","±2.6","(X)","(X)","16.1%","±2.4","(X)","(X)","9.8%","±4.9","(X)","(X)","11.2%","±6.5","(X)","(X)","8.6%","±4.3"
"    Some college or associate's degree","(X)","(X)","9.6%","±0.3","(X)","(X)","7.6%","±0.3","(X)","(X)","11.3%","±0.4","(X)","(X)","8.5%","±3.3","(X)","(X)","4.6%","±2.9","(X)","(X)","11.6%","±5.1","(X)","(X)","10.8%","±1.6","(X)","(X)","6.9%","±1.8","(X)","(X)","13.8%","±2.4","(X)","(X)","8.2%","±4.1","(X)","(X)","5.3%","±3.0","(X)","(X)","11.2%","±6.8"
"    Bachelor's degree or higher","(X)","(X)","5.8%","±0.3","(X)","(X)","5.3%","±0.3","(X)","(X)","6.2%","±0.3","(X)","(X)","5.2%","±2.3","(X)","(X)","7.2%","±3.5","(X)","(X)","3.3%","±2.0","(X)","(X)","4.3%","±0.8","(X)","(X)","4.2%","±1.2","(X)","(X)","4.3%","±1.1","(X)","(X)","6.2%","±2.9","(X)","(X)","6.5%","±3.8","(X)","(X)","5.9%","±3.6"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","48,103","±447","(X)","(X)","52,456","±445","(X)","(X)","42,003","±211","(X)","(X)","48,166","±3,349","(X)","(X)","52,283","±4,079","(X)","(X)","42,916","±4,667","(X)","(X)","50,020","±1,440","(X)","(X)","54,691","±3,613","(X)","(X)","46,115","±1,723","(X)","(X)","51,020","±2,051","(X)","(X)","60,513","±3,917","(X)","(X)","42,233","±6,317","(X)","(X)"
"        Less than high school graduate","31,252","±358","(X)","(X)","34,538","±1,181","(X)","(X)","25,936","±819","(X)","(X)","34,383","±9,593","(X)","(X)","34,436","±15,222","(X)","(X)","34,242","±22,328","(X)","(X)","36,038","±2,722","(X)","(X)","36,817","±3,860","(X)","(X)","34,774","±4,145","(X)","(X)","47,963","±18,692","(X)","(X)","48,233","±21,523","(X)","(X)","45,974","±56,994","(X)","(X)"
"        High school graduate (includes equivalency)","37,044","±281","(X)","(X)","41,625","±296","(X)","(X)","31,970","±280","(X)","(X)","40,636","±6,653","(X)","(X)","45,996","±6,000","(X)","(X)","36,586","±2,575","(X)","(X)","37,195","±1,903","(X)","(X)","40,457","±1,801","(X)","(X)","35,293","±2,197","(X)","(X)","42,589","±7,132","(X)","(X)","52,391","±11,360","(X)","(X)","32,500","±4,776","(X)","(X)"
"        Some college or associate's degree","45,172","±450","(X)","(X)","51,871","±387","(X)","(X)","40,118","±395","(X)","(X)","48,615","±7,627","(X)","(X)","57,132","±6,690","(X)","(X)","40,992","±3,462","(X)","(X)","44,171","±2,825","(X)","(X)","50,275","±3,539","(X)","(X)","40,974","±1,407","(X)","(X)","49,231","±6,252","(X)","(X)","65,154","±14,328","(X)","(X)","36,153","±4,598","(X)","(X)"
"        Bachelor's degree","60,618","±338","(X)","(X)","72,241","±1,068","(X)","(X)","51,868","±345","(X)","(X)","52,060","±6,727","(X)","(X)","59,000","±12,803","(X)","(X)","50,679","±6,135","(X)","(X)","65,277","±3,906","(X)","(X)","75,458","±5,575","(X)","(X)","56,548","±3,799","(X)","(X)","61,287","±11,619","(X)","(X)","62,143","±17,776","(X)","(X)","56,242","±19,235","(X)","(X)"
"        Graduate or professional degree","79,288","±2,134","(X)","(X)","98,811","±2,715","(X)","(X)","67,396","±1,573","(X)","(X)","71,206","±10,467","(X)","(X)","72,039","±37,073","(X)","(X)","70,295","±19,147","(X)","(X)","82,104","±9,434","(X)","(X)","101,177","±7,688","(X)","(X)","73,617","±6,556","(X)","(X)","60,964","±10,528","(X)","(X)","61,617","±33,310","(X)","(X)","56,006","±18,433","(X)","(X)"
